name, link, attending
Astral Codex Ten, https://www.astralcodexten.com/, true
Cold Takes, https://www.cold-takes.com/, 
Dominic Cummings, https://dominiccummings.substack.com/, 
Dynomight, https://dynomight.net/, 
The Future of Statistical Modeling, https://statmodeling.substack.com/, 
Gwern, https://gwern.net/, 
World Spirit Sock Puppet, https://worldspiritsockpuppet.com/, 
Melting Asphalt, https://meltingasphalt.com/, 
Marginal Revolution, https://marginalrevolution.com/, 
Money Stuff, https://www.bloomberg.com/account/newsletters/money-stuff, 
Bits about Money, https://www.bitsaboutmoney.com/, 
Vitalik Buterin, https://vitalik.eth.limo/, 
Don't Worry About the Vase, https://thezvi.substack.com/, 
Knowingless, https://aella.substack.com/, 
Rough Diamonds, https://sarahconstantin.substack.com/, 
Paul Graham, https://www.paulgraham.com/articles.html, 
Agenty Duck, https://agentyduck.blogspot.com/, 
Dan Luu, https://danluu.com/, 
De Novo, https://denovo.substack.com/, 
Elcenia, https://elcenia.com/, 
Hands and Cities (?), https://joecarlsmith.com/, 
Roots of Progress, https://rootsofprogress.org/writing, 
Otherwise, https://juliawise.net/, 
Progress and Poverty, https://progressandpoverty.substack.com/, 
Michael's Notebook, https://michaelnotebook.com/, 
Overcoming Bias, https://www.overcomingbias.com/, 
Planned Obsolescence, https://www.planned-obsolescence.org/, 
PutANumOnIt, https://putanumonit.com/, 
Radimentary, https://radimentary.wordpress.com/, 
The Unit of Caring, https://www.tumblr.com/theunitofcaring, 
Bet On It, https://www.betonit.ai/, 
Compass Rose, http://benjaminrosshoffman.com/, 
David Friedman, https://daviddfriedman.substack.com/, 
Information Processing, https://infoproc.blogspot.com/, 
Minding our way, https://mindingourway.com/, 
Silver Bulletin, https://www.natesilver.net/, 
Ribbon Farm, https://www.ribbonfarm.com/, 
The Diff, https://www.thediff.co/, 
The Sideways View, https://sideways-view.com/, 
Thing of Things, https://thingofthings.substack.com/, 
QNTM (Sam Hughes), https://qntm.org/blog, 
A Collection of Unmitigated Pedantry, https://acoup.blog/, 
